Id,SalePrice
1461,119221.24159428575
1462,145790.2230032921
1463,173506.09617937423
1464,203157.90045204156
1465,195594.6919615603
1466,172274.30024359105
1467,186077.88049510415
1468,165751.79225151177
1469,194828.3146562359
1470,117335.68425230596
1471,200090.60342100207
1472,104820.1617066605
1473,97080.94607097495
1474,149904.85901836248
1475,121745.2365770209
1476,337061.0297706884
1477,241848.45535596655
1478,292114.71780728566
1479,292225.45866966696
1480,441886.1092742635
1481,308935.05352365813
1482,220781.8032639297
1483,180835.56639866403
1484,169986.02980684963
1485,205187.26191707898
1486,201625.88106591065
1487,331341.5509486741
1488,241921.7391287315
1489,180346.34856976743
1490,222976.43736313263
1491,199582.83916736676
1492,92720.51273047512
1493,195257.69457587405
1494,291583.2340826734
1495,284337.4598712044
1496,215746.69744671523
1497,173587.4513683798
1498,162022.735421042
1499,165204.32516141285
1500,154226.48424609975
1501,162731.9242089655
1502,152714.06498806018
1503,283339.38784099603
1504,240417.6464314327
1505,217646.08330859584
1506,190086.29691384727
1507,237886.84209690476
1508,194215.24116935287
1509,160214.35658064263
1510,138345.03627985265
1511,143124.52035883686
1512,174345.41190263958
1513,148749.53761855306
1514,150132.6497430113
1515,193402.23991767957
1516,156690.1794458807
1517,166149.9833289106
1518,131916.5103746984
1519,206837.00949650502
1520,121808.4435922049
1521,121703.36016309127
1522,182392.23831098885
1523,103480.06680285049
1524,123854.24311955167
1525,118246.25759568029
1526,114931.56924677962
1527,103212.89078711497
1528,145793.60416723165
1529,134429.9800718994
1530,208854.11637794267
1531,108374.01743528341
1532,101317.25836755673
1533,139046.47394321678
1534,126976.30180502878
1535,144672.3548457964
1536,105667.82317878254
1537,64427.97344329326
1538,157813.95077136418
1539,195995.2550749105
1540,97985.34265443562
1541,144294.12809172305
1542,121159.83251553816
1543,173250.14950044747
1544,88080.5074884446
1545,118612.89293669433
1546,134569.47048112008
1547,125642.11085991794
1548,131655.84078786647
1549,119024.5401395935
1550,121615.29621291494
1551,111073.19555116537
1552,123847.38511192655
1553,151145.4477978962
1554,119671.3712017409
1555,145465.03394445957
1556,92562.79218563846
1557,101491.57853419388
1558,105978.37813497098
1559,77182.53021693497
1560,134913.57739100506
1561,120055.27018008825
1562,132303.29890633392
1563,118784.14680772935
1564,151126.825551327
1565,149555.72604159685
1566,235268.30277690428
1567,80003.96661063189
1568,218810.53695191242
1569,108765.32423428172
1570,150371.08685551333
1571,121138.5279862376
1572,135885.4709633522
1573,231637.4327121128
1574,117165.44229876215
1575,223288.60142746157
1576,256371.63906118402
1577,187229.60933293664
1578,147579.38799073303
1579,141816.99267254607
1580,200318.87307855277
1581,163879.62866153312
1582,128018.22649412876
1583,296880.150467847
1584,222150.3785247336
1585,143753.6554914634
1586,76723.54650343796
1587,104993.47287072337
1588,138021.0216742937
1589,103070.60479034492
1590,134198.90034618918
1591,89547.95323870698
1592,111166.75111605853
1593,138340.38232598462
1594,132145.47379190757
1595,103379.33390232852
1596,212083.35325442525
1597,182751.42602046506
1598,223677.05872734223
1599,174696.91998031538
1600,168373.07046471487
1601,69665.9514536471
1602,115482.34592704778
1603,94219.97235805694
1604,236017.5095711026
1605,261319.68403957388
1606,172345.49561751794
1607,181982.5876407548
1608,229817.65975844517
1609,184746.96442295777
1610,147459.37672541602
1611,147314.4243642881
1612,167489.58541279697
1613,168448.05535494766
1614,124013.7412964591
1615,95103.15301843706
1616,79616.27617027982
1617,96114.43519567781
1618,125636.10728638028
1619,152714.84056458983
1620,155791.25216462626
1621,140709.2364632549
1622,137908.05367107393
1623,261701.2764810651
1624,209502.751270392
1625,121601.86602908881
1626,172489.59687813657
1627,186371.13051855864
1628,285293.7589032173
1629,179528.7833382447
1630,312426.30757430533
1631,213161.78729707378
1632,229193.1428752516
1633,183029.58823135178
1634,184865.08187621232
1635,180064.63924539904
1636,160707.03191705758
1637,198492.96552980982
1638,192357.43785634317
1639,192327.43705338266
1640,256991.74796429614
1641,179278.3532349933
1642,219644.73972796398
1643,210671.255387293
1644,235367.06121527322
1645,209862.63340087977
1646,167045.67197087198
1647,164891.12142073485
1648,126675.14360211529
1649,138942.71047481959
1650,115101.2055746141
1651,126166.60913192987
1652,106841.34499322137
1653,111439.21488383846
1654,143940.37974418412
1655,139992.88222634987
1656,140354.06734753284
1657,143870.81203734898
1658,144288.28677471812
1659,125247.24262893823
1660,150996.89196892944
1661,409619.4282956164
1662,375041.2694086078
1663,346070.6013528763
1664,469857.30531495856
1665,299090.87665998156
1666,309765.0434475136
1667,366314.2973792752
1668,319442.55781994114
1669,300015.1926385652
1670,329098.9237865655
1671,246392.21126743086
1672,403801.64715768216
1673,288864.8476307598
1674,244927.63574252368
1675,186617.43602939058
1676,186766.14558509795
1677,217584.3346666433
1678,415002.05328641966
1679,341740.81696722726
1680,302682.1259856775
1681,244589.33077113994
1682,298486.13264008285
1683,182640.91641208003
1684,189498.8242520176
1685,178494.55371993562
1686,178985.85687145864
